EDUID,Gender,Enrolled Grade,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,ELA/Literacy Reported Lexile® Measure,Reading Claim Achievement Category,Reading Claim Scale Score,Reading Claim Standard Error,Writing Claim Achievement Category,Writing Claim Scale Score,Writing Claim Standard Error,Listening Claim Achievement Category,Listening Claim Scale Score,Listening Claim Standard Error,Research/Inquiry Claim Achievement Category,Research/Inquiry Claim Scale Score,Research/Inquiry Claim Standard Error,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Mathematics Reported Quantile® Measure,Concepts and Procedures Claim Achievement Category,Concepts and Procedures Claim Scale Score,Concepts and Procedures Claim Standard Error,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Scale Score,Problem Solving and Modeling & Data Analysis Claim Standard Error,Communicating Reasoning Claim Achievement Category,Communicating Reasoning Claim Scale Score,Communicating Reasoning Claim Standard Error
527427322,F,5,1,2403,26,1,675L,Below Standard,2404,47,At/Near Standard,2458,47,At/Near Standard,2450,79,Below Standard,2303,63,1,2441,23,1,605Q,Below Standard,2465,33,Below Standard,2313,131,Below Standard,2455,45
243962383,M,5,1,2381,28,1,625L,Below Standard,2349,53,Below Standard,2339,66,Below Standard,2370,69,At/Near Standard,2458,55,1,2398,33,1,480Q,Below Standard,2422,40,Below Standard,2367,94,Below Standard,2389,73
342685482,F,5,1,2326,30,1,505L,Below Standard,2315,66,Below Standard,2318,56,At/Near Standard,2430,71,Below Standard,2264,72,1,2332,32,1,295Q,Below Standard,2341,37,Below Standard,2357,98,Below Standard,2275,88
373862684,F,5,1,2454,24,2,790L,At/Near Standard,2475,41,At/Near Standard,2448,50,At/Near Standard,2497,69,Below Standard,2418,45,1,2465,24,2,675Q,At/Near Standard,2492,33,Below Standard,2319,91,At/Near Standard,2522,42
382334554,M,5,1,2405,25,1,680L,At/Near Standard,2461,45,Below Standard,2383,43,At/Near Standard,2459,67,Below Standard,2351,52,1,2425,28,1,560Q,Below Standard,2445,35,Below Standard,2432,56,Below Standard,2309,98
527165652,M,5,1,2478,26,2,840L,At/Near Standard,2548,49,At/Near Standard,2565,62,At/Near Standard,2430,66,Below Standard,2343,83,1,2511,20,2,805Q,At/Near Standard,2517,33,At/Near Standard,2516,34,At/Near Standard,2496,40
578441241,M,5,1,2512,25,3,920L,At/Near Standard,2513,47,At/Near Standard,2563,53,At/Near Standard,2535,66,At/Near Standard,2452,51,1,2602,18,4,1065Q,Above Standard,2614,24,At/Near Standard,2571,40,Above Standard,2602,43
734888359,M,5,1,2466,24,2,815L,At/Near Standard,2519,42,At/Near Standard,2477,47,Below Standard,2379,70,At/Near Standard,2435,45,1,2493,22,2,755Q,At/Near Standard,2527,32,Below Standard,2433,56,At/Near Standard,2477,58
868671685,M,5,1,2326,29,1,505L,Below Standard,2395,44,Below Standard,2319,55,Below Standard,2264,86,Below Standard,2278,66,1,2400,29,1,490Q,Below Standard,2408,40,Below Standard,2383,62,Below Standard,2402,68
532176445,M,5,1,2452,25,2,785L,At/Near Standard,2442,40,At/Near Standard,2461,56,At/Near Standard,2495,65,At/Near Standard,2431,52,1,2480,23,2,715Q,Below Standard,2468,31,At/Near Standard,2465,51,At/Near Standard,2521,46
682843816,F,5,1,2427,25,1,730L,Below Standard,2376,55,Below Standard,2428,45,At/Near Standard,2543,69,Below Standard,2404,50,1,2427,26,1,565Q,Below Standard,2441,35,Below Standard,2337,86,At/Near Standard,2472,51
418229617,F,5,1,2421,25,1,715L,At/Near Standard,2467,43,Below Standard,2363,52,Below Standard,2405,58,At/Near Standard,2435,48,1,2406,28,1,505Q,Below Standard,2414,38,Below Standard,2445,44,Below Standard,2246,125
